Displacement,Load
0.39869,64.72186
0.39953,64.87328
0.40037,65.0247
0.40121,65.16791
0.40204,65.31116
0.40286,65.44807
0.40369,65.59781
0.40452,65.74506
0.40537,65.89488
0.40621,66.03916
0.40704,66.17845
0.40785,66.31853
0.40868,66.46216
0.40952,66.6097
0.41037,66.76074
0.41121,66.90918
0.41204,67.03539
0.41284,67.17924
0.41368,67.31912
0.41453,67.47543
0.41538,67.62276
0.4162,67.75771
0.41702,67.90051
0.41784,68.02928
0.41869,68.18591
0.41954,68.33037
0.42038,68.48016
0.4212,68.60831
0.42203,68.74919
0.42285,68.8875
0.4237,69.02853
0.42455,69.17543
0.42538,69.31715
0.4262,69.45117
0.42703,69.58889
0.42786,69.73061
0.4287,69.8677
0.42954,70.00912
0.43037,70.14481
0.4312,70.27757
0.43203,70.41273
0.43285,70.5524
0.4337,70.69171
0.43453,70.83584
0.43537,70.9681
0.4362,71.10617
0.43704,71.24258
0.43786,71.37444
0.43869,71.50876
0.43952,71.63876
0.44036,71.78745
0.4412,71.92107
0.44203,72.05789
0.44285,72.19609
0.44369,72.3322
0.44453,72.46742
0.44537,72.60771
0.44621,72.73985
0.44704,72.8734
0.44786,72.99669
0.44869,73.13592
0.44953,73.26957
0.45038,73.40842
0.45121,73.53915
0.45203,73.66714
0.45285,73.79357
0.45369,73.92391
0.45454,74.06847
0.45538,74.21109
0.45621,74.32703
0.45703,74.45863
0.45785,74.58051
0.45869,74.71597
0.45954,74.85152
0.46037,74.98111
0.4612,75.10909
0.46201,75.23333
0.46284,75.36116
0.46369,75.50784
0.46454,75.64162
0.46536,75.75675
0.46619,75.89328
0.46702,76.01569
0.46785,76.15455
0.4687,76.2906
0.46954,76.41494
0.47037,76.539
0.47119,76.66386
0.47203,76.79127
0.47287,76.91277
0.4737,77.04965
0.47453,77.1731
0.47537,77.30676
0.4762,77.41721
0.47704,77.55369
0.47787,77.68116
0.4787,77.80378
0.47953,77.93056
0.48037,78.05086
0.4812,78.17635
0.48204,78.30183
0.48286,78.42567
0.48369,78.54113
0.48453,78.67486
0.48537,78.79571
0.4862,78.92247
0.48703,79.04208
0.48785,79.16858
0.48868,79.28583
0.48953,79.41776
0.49037,79.54008
0.4912,79.66148
0.49203,79.78303
0.49285,79.88562
0.49369,80.02515
0.49453,80.14649
0.49538,80.2694
0.4962,80.37975
0.49702,80.49326
0.49785,80.61406
0.4987,80.74414
0.49954,80.86803
0.50038,80.98772
0.5012,81.10513
0.50202,81.21902
0.50285,81.33974
0.5037,81.46188
0.50454,81.58238
0.50537,81.70541
0.50619,81.81762
0.50702,81.92934
0.50786,82.04385
0.50871,82.18243
0.50953,82.28946
0.51036,82.40646
0.51119,82.528
0.51202,82.64048
0.51286,82.76736
0.51369,82.88641
0.51453,82.99477
0.51536,83.12335
0.51619,83.22514
0.51703,83.35312
0.51786,83.45937
0.51869,83.57777
0.51953,83.69183
0.52037,83.8032
0.5212,83.91309
0.52203,84.03838
0.52285,84.1433
0.52369,84.25329
0.52453,84.37518
0.52537,84.48896
0.52621,84.60733
0.52704,84.71046
0.52785,84.82664
0.52869,84.93716
0.52954,85.06161
0.53038,85.17564
0.53121,85.28278
0.53203,85.38657
0.53285,85.50595
0.53369,85.61575
0.53454,85.73826
0.53537,85.84878
0.5362,85.96465
0.53702,86.07137
0.53785,86.17826
0.5387,86.29268
0.53955,86.41744
0.54037,86.51797
0.54119,86.62431
0.54201,86.72027
0.54286,86.84386
0.5437,86.96462
0.54454,87.07482
0.54537,87.17755
0.54619,87.27803
0.54702,87.38351
0.54786,87.49738
0.54871,87.62042
0.54954,87.72009
0.55036,87.82557
0.55119,87.9319
0.55202,88.03518
0.55287,88.15049
0.5537,88.25774
0.55453,88.35686
0.55537,88.46665
0.5562,88.57057
0.55702,88.66912
0.55786,88.78471
0.55869,88.89246
0.55953,88.99965
0.56036,89.09999
0.5612,89.21932
0.56203,89.32625
0.56285,89.40992
0.56369,89.52252
0.56453,89.63363
0.56537,89.74147
0.5662,89.84508
0.56702,89.93605
0.56785,90.04456
0.5687,90.14228
0.56954,90.25764
0.57037,90.35228
0.5712,90.45377
0.57201,90.54148
0.57285,90.64579
0.5737,90.75468
0.57455,90.86104
0.57537,90.95925
0.5762,91.04732
0.57702,91.15129
0.57785,91.25397
0.57869,91.36441
0.57955,91.4763
0.58037,91.56152
0.5812,91.66358
0.58202,91.74701
0.58286,91.85618
