U2,RF2
6.449794,3504.170731
6.460969,3504.170731
6.471071,3495.284
6.4816675,3513.057461
6.4939525,3504.170731
6.504557,3513.057461
6.516313,3495.284
6.526906,3521.891221
6.538123,3539.664683
6.54924,3548.551413
6.5593545,3539.664683
6.5698855,3548.551413
6.580568,3548.551413
6.593681,3548.551413
6.60393,3548.551413
6.6153825,3539.664683
6.6255845,3539.664683
6.6355045,3539.664683
6.645007,3575.158635
6.6556205,3575.158635
6.6666635,3575.158635
6.6769295,3583.992533
6.688386,3583.992533
6.6982465,3575.158635
6.707981,3583.992533
6.718351,3583.992533
6.7297745,3583.992533
6.740487,3583.992533
6.750895,3628.373216
6.76175,3610.652725
6.772667,3619.486485
6.7818405,3619.486485
6.79204,3619.486485
6.803834,3619.486485
6.814551,3628.373216
6.824211,3619.486485
6.8363205,3619.486485
6.8466725,3619.486485
6.857058,3654.980437
6.867256,3654.980437
6.877301,3654.980437
6.889488,3646.093707
6.8998525,3663.867168
6.911751,3654.980437
6.921736,3663.867168
6.932868,3663.867168
6.942532,3654.980437
6.951896,3690.474389
6.963134,3699.36112
6.973661,3690.474389
6.9854245,3699.36112
6.995751,3690.474389
7.00629,3690.474389
7.0165315,3717.081749
7.0253445,3699.36112
7.0355995,3699.36112
7.0465935,3725.96848
7.058,3725.96848
7.068509,3734.855211
7.0791715,3734.855211
7.0891975,3734.855211
7.0988545,3725.96848
7.108584,3734.855211
7.1191835,3725.96848
7.130473,3734.855211
7.1406315,3725.96848
7.1507635,3779.182923
7.1611835,3761.462432
7.170488,3770.296192
7.180696,3770.296192
7.1905225,3761.462432
7.200853,3770.296192
7.211996,3761.462432
7.2222935,3779.182923
7.2329235,3779.182923
7.242527,3814.676875
7.251463,3805.790144
7.2616975,3814.676875
7.2716475,3814.676875
7.2830195,3805.790144
7.293066,3805.790144
7.302706,3805.790144
7.3124385,3805.790144
7.322515,3805.790144
7.3329435,3850.170965
7.3428405,3850.170965
7.3532145,3850.170965
7.363447,3841.284235
7.374238,3841.284235
7.382671,3841.284235
7.3923155,3841.284235
7.402595,3841.284235
7.412318,3841.284235
7.42293,3885.664917
7.4332695,3885.664917
7.4435235,3885.664917
7.4530755,3885.664917
7.461899,3885.664917
7.4718435,3885.664917
7.481871,3876.778187
7.492957,3885.664917
7.5030685,3885.664917
7.512275,3921.105899
7.5219615,3921.105899
7.5306385,3921.105899
7.541053,3921.105899
7.551437,3921.105899
7.561706,3921.105899
7.571764,3921.105899
7.5816865,3912.272139
7.5910325,3921.105899
7.5990145,3921.105899
7.609682,3965.48672
7.619845,3965.48672
7.629584,3965.48672
7.6400425,3956.599989
7.649058,3956.599989
7.659312,3974.373312
7.668594,3956.599989
7.678378,3965.48672
7.6890265,3992.093941
7.69941,4000.980672
7.7098505,4000.980672
7.718234,4000.980672
7.727486,4009.867403
7.7363035,3992.093941
7.7460635,4000.980672
7.757025,4000.980672
7.766772,3992.093941
7.77663,4000.980672
7.786895,4036.474624
7.7947685,4036.474624
7.8041305,4036.474624
7.8138975,4036.474624
7.824057,4045.308384
7.833533,4027.587893
7.843917,4027.587893
7.8527805,4036.474624
7.862015,4027.587893
7.8723475,4071.968576
7.8823555,4071.968576
7.892896,4071.968576
7.9024105,4080.802475
7.912411,4071.968576
7.9219615,4080.802475
7.93104,4063.081845
7.9394805,4071.968576
7.948969,4107.409696
7.9586495,4107.409696
7.9690055,4107.409696
7.979112,4107.409696
7.9883985,4098.575797
7.996543,4107.409696
8.006024,4116.296427
8.0163415,4107.409696
8.0267235,4107.409696
8.0371255,4098.575797
8.046755,4142.903648
8.055877,4151.790379
8.064285,4151.790379
8.073545,4151.790379
8.0837215,4142.903648
8.092446,4151.790379
8.1024245,4142.903648
8.112215,4142.903648
8.121736,4142.903648
8.1300865,4178.3976
8.138676,4178.3976
8.148264,4178.3976
8.1582595,4187.284331
8.1679295,4187.284331
8.177606,4187.284331
8.186663,4187.284331
8.1950675,4187.284331
8.203799,4178.3976
8.2134845,4178.3976
8.223661,4196.118229
8.2332535,4178.3976
8.241943,4178.3976
8.2514195,4178.3976
8.2590585,4178.3976
8.267315,4178.3976
8.276319,4187.284331
8.2863495,4187.284331
8.295308,4222.778283
